Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 5, 3, 7, 7, 7, 3, 5, 7, 7, 3, 3, 5, 7, 5, 5, 3, 5, 7, 5], 'e': [6, 6, 3, 4, 4, 6, 4, 4, 6, 4, 6, 4, 3, 4, 6, 4, 6, 6, 4, 6], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-11-01 06:58:47.047354,5456768,0,297922528,76.072
"{'wid': None, 'ks': [3, 5, 5, 3, 7, 7, 5, 7, 5, 7, 5, 5, 3, 7, 5, 3, 3, 5, 5, 5], 'e': [6, 3, 4, 3, 6, 6, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 3, 4, 6, 3], 'd': [2, 2, 3, 3, 3], 'r': [224]}",2022-11-01 07:00:19.279914,5073640,0,257864336,75.432
"{'wid': None, 'ks': [5, 5, 5, 7, 5, 7, 5, 3, 5, 5, 5, 3, 3, 7, 3, 7, 5, 5, 5, 5], 'e': [4, 3, 3, 4, 4, 6, 6, 6, 6, 4, 4, 6, 4, 4, 3, 4, 4, 6, 4, 4], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 07:02:07.864090,4730976,0,255856320,75.222
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 7, 7, 3, 7, 5, 5, 7, 5, 7, 3, 5, 5, 3, 3, 3], 'e': [4, 4, 4, 4, 4, 4, 3, 6, 6, 4, 4, 6, 3, 3, 3, 6, 3, 4, 6, 6], 'd': [3, 2, 4, 3, 2], 'r': [224]}",2022-11-01 07:03:57.180862,3961808,0,250417360,74.716
"{'wid': None, 'ks': [5, 3, 3, 7, 7, 5, 3, 5, 7, 7, 3, 3, 5, 7, 5, 3, 3, 5, 7, 5], 'e': [4, 6, 3, 4, 4, 6, 3, 4, 6, 4, 3, 4, 3, 4, 6, 4, 4, 4, 4, 4], 'd': [2, 2, 2, 3, 3], 'r': [224]}",2022-11-01 07:05:21.998828,4672072,0,233088448,75.23
"{'wid': None, 'ks': [5, 5, 3, 5, 3, 3, 7, 3, 5, 5, 3, 3, 5, 5, 5, 5, 5, 3, 5, 3], 'e': [6, 4, 4, 4, 3, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 3, 3, 4, 4, 4], 'd': [3, 4, 4, 3, 2], 'r': [224]}",2022-11-01 07:07:01.892452,4326704,0,276032144,75.17
"{'wid': None, 'ks': [7, 5, 7, 3, 3, 3, 5, 7, 5, 7, 5, 5, 3, 5, 5, 3, 7, 5, 5, 7], 'e': [6, 6, 4, 4, 4, 4, 6, 6, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:09:16.881702,5118536,0,330779968,76.364
"{'wid': None, 'ks': [5, 5, 5, 5, 3, 7, 7, 7, 7, 7, 7, 3, 5, 3, 7, 5, 3, 7, 7, 5], 'e': [4, 3, 3, 3, 4, 6, 3, 3, 6, 4, 4, 6, 3, 4, 3, 6, 4, 6, 3, 4], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 07:10:56.974281,4748240,0,252386976,75.58
"{'wid': None, 'ks': [5, 7, 5, 7, 5, 5, 7, 3, 7, 5, 7, 5, 5, 7, 3, 3, 5, 3, 5, 5], 'e': [3, 4, 4, 4, 3, 6, 6, 6, 4, 3, 6, 3, 3, 4, 4, 6, 4, 4, 4, 6], 'd': [3, 3, 2, 4, 3], 'r': [224]}",2022-11-01 07:12:45.094224,4878120,0,280935744,75.786
"{'wid': None, 'ks': [7, 3, 5, 5, 7, 3, 5, 5, 7, 3, 5, 5, 5, 3, 3, 3, 3, 7, 3, 7], 'e': [4, 3, 6, 4, 4, 4, 4, 3, 6, 3, 4, 3, 3, 3, 3, 4, 4, 6, 4, 3], 'd': [3, 3, 3, 4, 2], 'r': [224]}",2022-11-01 07:14:25.083430,4526088,0,258309440,75.464
