Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 5, 5, 3, 7, 7, 5, 7, 5, 7, 5, 5, 3, 7, 5, 3, 3, 5, 5, 5], 'e': [6, 3, 4, 3, 6, 6, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 3, 4, 6, 3], 'd': [2, 2, 3, 3, 3], 'r': [224]}",2022-11-01 06:58:06.183649,5073640,0,257864336,75.42
"{'wid': None, 'ks': [5, 5, 5, 7, 5, 7, 5, 3, 5, 5, 5, 3, 3, 7, 3, 7, 5, 5, 5, 5], 'e': [4, 3, 3, 4, 4, 6, 6, 6, 6, 4, 4, 6, 4, 4, 3, 4, 4, 6, 4, 4], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:59:46.276852,4730976,0,255856320,75.202
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 7, 7, 3, 7, 5, 5, 7, 5, 7, 3, 5, 5, 3, 3, 3], 'e': [4, 4, 4, 4, 4, 4, 3, 6, 6, 4, 4, 6, 3, 3, 3, 6, 3, 4, 6, 6], 'd': [3, 2, 4, 3, 2], 'r': [224]}",2022-11-01 07:01:34.302237,3961808,0,250417360,74.684
"{'wid': None, 'ks': [3, 5, 5, 7, 5, 7, 5, 5, 5, 3, 5, 5, 3, 5, 3, 3, 7, 7, 5, 3], 'e': [6, 4, 6, 3, 6, 4, 4, 4, 4, 3, 4, 6, 4, 4, 3, 4, 3, 3, 4, 3], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 07:03:12.191973,4271176,0,260766768,75.346
"{'wid': None, 'ks': [3, 3, 7, 5, 3, 7, 3, 5, 7, 3, 3, 3, 5, 3, 3, 3, 5, 3, 7, 5], 'e': [4, 4, 4, 4, 3, 6, 3, 3, 4, 4, 6, 4, 3, 3, 4, 4, 3, 4, 6, 3], 'd': [3, 2, 2, 2, 2], 'r': [224]}",2022-11-01 07:04:31.494366,3644656,0,185102288,72.66
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 3, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 7, 3, 3, 5], 'e': [4, 4, 3, 4, 6, 3, 4, 3, 4, 3, 4, 3, 6, 3, 4, 3, 6, 4, 4, 4], 'd': [4, 4, 3, 3, 3], 'r': [224]}",2022-11-01 07:06:05.204697,4782808,0,274993824,76.076
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 5, 7, 7, 3, 5, 3, 3, 3, 5, 7, 5, 5, 7, 7], 'e': [4, 3, 4, 6, 4, 6, 4, 3, 6, 6, 6, 4, 4, 4, 4, 6, 6, 4, 6, 3], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 07:07:31.249178,4981440,0,273504160,75.474
"{'wid': None, 'ks': [3, 3, 3, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 7, 5, 3], 'e': [6, 4, 6, 6, 4, 4, 4, 4, 4, 3, 3, 6, 6, 4, 4, 4, 3, 3, 3, 4], 'd': [3, 3, 3, 4, 2], 'r': [224]}",2022-11-01 07:08:54.685511,4194328,0,264084784,75.226
"{'wid': None, 'ks': [7, 3, 3, 5, 7, 3, 3, 3, 7, 3, 7, 5, 5, 5, 3, 3, 3, 3, 7, 5], 'e': [3, 3, 3, 6, 6, 3, 4, 3, 4, 3, 6, 3, 3, 4, 4, 4, 3, 4, 4, 3], 'd': [4, 4, 4, 4, 3], 'r': [224]}",2022-11-01 07:10:23.604047,4735664,0,299852304,76.048
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 7, 5, 5, 5, 5, 3, 3, 3, 7, 7, 5, 5, 5, 5, 3], 'e': [3, 4, 4, 3, 3, 3, 4, 3, 3, 6, 3, 4, 3, 3, 3, 4, 6, 6, 4, 4], 'd': [2, 3, 2, 2, 2], 'r': [224]}",2022-11-01 07:11:48.897865,4307120,0,174669632,73.77
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 3, 7, 3, 7, 5, 3, 5, 5, 5, 7, 5, 5, 7, 3, 5], 'e': [3, 4, 6, 3, 4, 6, 3, 4, 4, 3, 4, 4, 4, 6, 4, 4, 6, 6, 4, 6], 'd': [2, 3, 2, 2, 2], 'r': [224]}",2022-11-01 07:13:13.693117,4611632,0,207451040,74.532
"{'wid': None, 'ks': [5, 5, 5, 7, 5, 7, 3, 3, 3, 5, 5, 3, 3, 7, 3, 3, 5, 3, 5, 5], 'e': [4, 3, 3, 4, 4, 6, 6, 6, 6, 4, 4, 4, 4, 4, 3, 4, 4, 6, 4, 4], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 07:14:47.772871,4711776,0,254351040,75.138
