Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [5, 5, 3, 3, 3, 3, 3, 5, 3, 7, 7, 7, 7, 3, 7, 5, 7, 3, 7, 5], 'e': [3, 3, 3, 6, 6, 3, 6, 4, 3, 4, 4, 6, 6, 3, 4, 6, 4, 6, 4, 3], 'd': [4, 2, 3, 3, 2], 'r': [224]}",2022-11-01 06:51:06.898368,4510280,0,242134176,74.656
"{'wid': None, 'ks': [5, 7, 7, 5, 5, 5, 5, 7, 7, 5, 3, 3, 7, 3, 5, 3, 7, 5, 5, 7], 'e': [3, 6, 6, 3, 4, 3, 3, 4, 4, 6, 3, 4, 3, 3, 4, 4, 3, 4, 3, 4], 'd': [4, 3, 2, 3, 2], 'r': [224]}",2022-11-01 06:52:44.107517,3921128,0,270569168,74.568
"{'wid': None, 'ks': [5, 3, 3, 5, 3, 7, 7, 5, 3, 3, 3, 5, 5, 7, 3, 7, 5, 5, 7, 3], 'e': [3, 3, 4, 3, 3, 6, 6, 6, 6, 4, 3, 4, 3, 4, 3, 3, 3, 4, 6, 6], 'd': [3, 2, 2, 3, 4], 'r': [224]}",2022-11-01 06:54:04.166773,5481384,0,227290512,75.126
"{'wid': None, 'ks': [7, 3, 7, 7, 7, 3, 7, 3, 5, 5, 3, 7, 5, 3, 7, 5, 3, 7, 7, 3], 'e': [6, 4, 3, 6, 6, 6, 6, 6, 3, 4, 4, 3, 6, 4, 4, 4, 6, 3, 4, 3], 'd': [3, 2, 4, 4, 4], 'r': [224]}",2022-11-01 06:55:34.280777,5259344,0,312812800,76.462
"{'wid': None, 'ks': [3, 7, 7, 5, 3, 3, 5, 7, 5, 7, 3, 7, 5, 7, 5, 7, 3, 3, 3, 7], 'e': [4, 3, 4, 3, 3, 3, 3, 4, 4, 6, 4, 6, 4, 4, 3, 6, 3, 4, 4, 3], 'd': [4, 3, 3, 2, 3], 'r': [224]}",2022-11-01 06:57:03.499557,4265000,0,241550544,74.738
"{'wid': None, 'ks': [5, 5, 7, 5, 5, 5, 3, 5, 7, 5, 5, 7, 5, 3, 7, 5, 3, 5, 7, 3], 'e': [6, 4, 4, 3, 3, 4, 6, 4, 4, 4, 6, 6, 4, 3, 6, 4, 4, 4, 3, 6], 'd': [3, 4, 3, 3, 4], 'r': [224]}",2022-11-01 06:58:39.577743,5404568,0,310626208,76.194
"{'wid': None, 'ks': [7, 5, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7, 7, 7], 'e': [6, 6, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 4, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:00:47.552523,6849456,0,392902880,77.1
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5, 3, 5, 5, 3, 3, 7], 'e': [3, 3, 4, 6, 4, 3, 6, 4, 3, 3, 6, 4, 3, 4, 4, 6, 4, 3, 3, 3], 'd': [2, 3, 2, 2, 3], 'r': [224]}",2022-11-01 07:02:20.004682,3921360,0,178433632,73.534
"{'wid': None, 'ks': [7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 3, 5, 7, 5, 5, 7, 3, 7], 'e': [6, 3, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 3, 3], 'd': [2, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:03:57.782210,5575824,0,312554144,76.556
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 5, 7, 5, 3, 5, 3, 5, 3, 5, 5, 3, 3, 7], 'e': [3, 3, 4, 4, 4, 6, 6, 3, 3, 4, 4, 4, 4, 4, 4, 6, 6, 6, 3, 3], 'd': [2, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:05:21.778650,5670496,0,285550976,76.328
"{'wid': None, 'ks': [7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 3, 5, 7, 5, 5, 7, 7, 7], 'e': [6, 3, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 4, 6, 4, 4, 6, 6, 3, 3], 'd': [2, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:06:55.900609,5777416,0,324552480,76.668
"{'wid': None, 'ks': [7, 3, 7, 7, 5, 7, 7, 7, 7, 5, 5, 5, 3, 5, 7, 5, 5, 7, 3, 7], 'e': [3, 3, 4, 4, 4, 6, 6, 3, 6, 4, 4, 4, 4, 4, 4, 4, 6, 6, 3, 3], 'd': [2, 3, 3, 4, 4], 'r': [224]}",2022-11-01 07:08:24.289475,5570304,0,287688160,76.436
